Temps       ;Contrainte  ;
 0.0000E+000; 0.0000E+000;
 1.2500E-004; 1.5013E+007;
 2.5000E-004; 3.0026E+007;
 3.7500E-004; 4.5039E+007;
 5.0000E-004; 6.0051E+007;
 6.2500E-004; 7.5064E+007;
 7.5000E-004; 9.0077E+007;
 8.7500E-004; 1.0509E+008;
 1.0000E-003; 1.2010E+008;
 1.1250E-003; 1.3512E+008;
 1.2500E-003; 1.5013E+008;
 1.3750E-003; 1.6514E+008;
 1.5000E-003; 1.8015E+008;
 1.6250E-003; 1.9517E+008;
 1.7500E-003; 2.1018E+008;
 1.8750E-003; 2.2519E+008;
 2.0000E-003; 2.4012E+008;
 2.1250E-003; 2.5469E+008;
 2.2500E-003; 2.6036E+008;
 2.3750E-003; 2.6092E+008;
 2.5000E-003; 2.6148E+008;
 3.3750E-003; 2.6524E+008;
 4.2500E-003; 2.6885E+008;
 5.1250E-003; 2.7233E+008;
 6.0000E-003; 2.7569E+008;
 6.8750E-003; 2.7897E+008;
 7.7500E-003; 2.8217E+008;
 8.6250E-003; 2.8528E+008;
 9.5000E-003; 2.8834E+008;
 1.0375E-002; 2.9132E+008;
 1.1250E-002; 2.9424E+008;
 1.2125E-002; 2.9710E+008;
 1.3000E-002; 2.9991E+008;
 1.3875E-002; 3.0267E+008;
 1.4750E-002; 3.0538E+008;
 1.5625E-002; 3.0802E+008;
 1.6500E-002; 3.1062E+008;
 1.7375E-002; 3.1317E+008;
 1.8250E-002; 3.1568E+008;
 1.9125E-002; 3.1816E+008;
 2.0000E-002; 3.2059E+008;
