Temps       ;Deformation ;
 0.0000E+000; 0.0000E+000;
 1.2500E-004; 7.1823E-005;
 2.5000E-004; 1.4365E-004;
 3.7500E-004; 2.1547E-004;
 5.0000E-004; 2.8729E-004;
 6.2500E-004; 3.5912E-004;
 7.5000E-004; 4.3094E-004;
 8.7500E-004; 5.0276E-004;
 1.0000E-003; 5.7458E-004;
 1.1250E-003; 6.4641E-004;
 1.2500E-003; 7.1823E-004;
 1.3750E-003; 7.9005E-004;
 1.5000E-003; 8.6188E-004;
 1.6250E-003; 9.3370E-004;
 1.7500E-003; 1.0055E-003;
 1.8750E-003; 1.0773E-003;
 2.0000E-003; 1.1488E-003;
 2.1250E-003; 1.2185E-003;
 2.2500E-003; 1.3258E-003;
 2.3750E-003; 1.4551E-003;
 2.5000E-003; 1.5846E-003;
 3.3750E-003; 2.4683E-003;
 4.2500E-003; 3.3209E-003;
 5.1250E-003; 4.1588E-003;
 6.0000E-003; 4.9807E-003;
 6.8750E-003; 5.7951E-003;
 7.7500E-003; 6.6039E-003;
 8.6250E-003; 7.4038E-003;
 9.5000E-003; 8.2005E-003;
 1.0375E-002; 8.9892E-003;
 1.1250E-002; 9.7729E-003;
 1.2125E-002; 1.0555E-002;
 1.3000E-002; 1.1333E-002;
 1.3875E-002; 1.2110E-002;
 1.4750E-002; 1.2881E-002;
 1.5625E-002; 1.3651E-002;
 1.6500E-002; 1.4415E-002;
 1.7375E-002; 1.5175E-002;
 1.8250E-002; 1.5935E-002;
 1.9125E-002; 1.6694E-002;
 2.0000E-002; 1.7452E-002;
