Temps       ;Contrainte  ;
 0.0000E+000; 0.0000E+000;
 1.6000E-004; 1.9216E+007;
 3.2000E-004; 3.8433E+007;
 4.8000E-004; 5.7649E+007;
 6.4000E-004; 7.6866E+007;
 8.0000E-004; 9.6082E+007;
 9.6000E-004; 1.1530E+008;
 1.1200E-003; 1.3452E+008;
 1.2800E-003; 1.5373E+008;
 1.4400E-003; 1.7295E+008;
 1.6000E-003; 1.9216E+008;
 1.7600E-003; 2.1138E+008;
 1.9200E-003; 2.3060E+008;
 2.0800E-003; 2.4981E+008;
 2.2400E-003; 2.6903E+008;
 2.4000E-003; 2.8825E+008;
 2.5600E-003; 3.0738E+008;
 2.7200E-003; 3.2605E+008;
 2.8800E-003; 3.3688E+008;
 3.0400E-003; 3.3732E+008;
 3.2000E-003; 3.3568E+008;
 3.3600E-003; 3.3394E+008;
 3.5200E-003; 3.3236E+008;
 3.6800E-003; 3.3096E+008;
 3.8400E-003; 3.2982E+008;
 4.0000E-003; 3.2886E+008;
 4.1600E-003; 3.2802E+008;
 4.3200E-003; 3.2733E+008;
 4.4800E-003; 3.2675E+008;
 4.6400E-003; 3.2631E+008;
 4.8000E-003; 3.2594E+008;
 4.9600E-003; 3.2560E+008;
 5.1200E-003; 3.2535E+008;
 5.2800E-003; 3.2517E+008;
 5.4400E-003; 3.2506E+008;
 5.6000E-003; 3.2499E+008;
 5.7600E-003; 3.2506E+008;
 5.9200E-003; 3.2514E+008;
 6.0800E-003; 3.2528E+008;
 6.2400E-003; 3.2553E+008;
 6.4000E-003; 3.2577E+008;
 6.5600E-003; 3.2604E+008;
 6.7200E-003; 3.2639E+008;
 6.8800E-003; 3.2674E+008;
 7.0400E-003; 3.2711E+008;
 7.2000E-003; 3.2750E+008;
 7.3600E-003; 3.2789E+008;
 7.5200E-003; 3.2829E+008;
 7.6800E-003; 3.2870E+008;
 7.8400E-003; 3.2912E+008;
 8.0000E-003; 3.2953E+008;
 8.1600E-003; 3.2994E+008;
 8.3200E-003; 3.3035E+008;
 8.4800E-003; 3.3076E+008;
 8.6400E-003; 3.3119E+008;
 8.8000E-003; 3.3162E+008;
 8.9600E-003; 3.3207E+008;
 9.1200E-003; 3.3253E+008;
 9.2800E-003; 3.3299E+008;
 9.4400E-003; 3.3346E+008;
 9.6000E-003; 3.3394E+008;
 9.7600E-003; 3.3442E+008;
 9.9200E-003; 3.3490E+008;
 1.0080E-002; 3.3539E+008;
 1.0240E-002; 3.3587E+008;
 1.0400E-002; 3.3638E+008;
 1.0560E-002; 3.3688E+008;
 1.0720E-002; 3.3739E+008;
 1.0880E-002; 3.3789E+008;
 1.1040E-002; 3.3839E+008;
 1.1200E-002; 3.3888E+008;
 1.1360E-002; 3.3937E+008;
 1.1520E-002; 3.3986E+008;
 1.1680E-002; 3.4034E+008;
 1.1840E-002; 3.4083E+008;
 1.2000E-002; 3.4131E+008;
 1.2160E-002; 3.4180E+008;
 1.2320E-002; 3.4229E+008;
 1.2480E-002; 3.4277E+008;
 1.2640E-002; 3.4326E+008;
 1.2800E-002; 3.4375E+008;
 1.2960E-002; 3.4424E+008;
 1.3120E-002; 3.4473E+008;
 1.3280E-002; 3.4523E+008;
 1.3440E-002; 3.4573E+008;
 1.3600E-002; 3.4622E+008;
 1.3760E-002; 3.4672E+008;
 1.3920E-002; 3.4721E+008;
 1.4080E-002; 3.4770E+008;
 1.4240E-002; 3.4819E+008;
 1.4400E-002; 3.4868E+008;
 1.4560E-002; 3.4916E+008;
 1.4720E-002; 3.4965E+008;
 1.4880E-002; 3.5014E+008;
 1.5040E-002; 3.5062E+008;
 1.5200E-002; 3.5110E+008;
