Temps       ;Deformation ;
 0.0000E+000; 0.0000E+000;
 1.6000E-004; 9.1933E-005;
 3.2000E-004; 1.8387E-004;
 4.8000E-004; 2.7580E-004;
 6.4000E-004; 3.6773E-004;
 8.0000E-004; 4.5967E-004;
 9.6000E-004; 5.5160E-004;
 1.1200E-003; 6.4353E-004;
 1.2800E-003; 7.3547E-004;
 1.4400E-003; 8.2740E-004;
 1.6000E-003; 9.1933E-004;
 1.7600E-003; 1.0113E-003;
 1.9200E-003; 1.1032E-003;
 2.0800E-003; 1.1951E-003;
 2.2400E-003; 1.2871E-003;
 2.4000E-003; 1.3790E-003;
 2.5600E-003; 1.4705E-003;
 2.7200E-003; 1.5607E-003;
 2.8800E-003; 1.6794E-003;
 3.0400E-003; 1.8390E-003;
 3.2000E-003; 2.0049E-003;
 3.3600E-003; 2.1677E-003;
 3.5200E-003; 2.3239E-003;
 3.6800E-003; 2.4759E-003;
 3.8400E-003; 2.6256E-003;
 4.0000E-003; 2.7742E-003;
 4.1600E-003; 2.9247E-003;
 4.3200E-003; 3.0835E-003;
 4.4800E-003; 3.2506E-003;
 4.6400E-003; 3.4206E-003;
 4.8000E-003; 3.5989E-003;
 4.9600E-003; 3.7830E-003;
 5.1200E-003; 3.9700E-003;
 5.2800E-003; 4.1592E-003;
 5.4400E-003; 4.3494E-003;
 5.6000E-003; 4.5395E-003;
 5.7600E-003; 4.7289E-003;
 5.9200E-003; 4.9182E-003;
 6.0800E-003; 5.1068E-003;
 6.2400E-003; 5.2921E-003;
 6.4000E-003; 5.4771E-003;
 6.5600E-003; 5.6606E-003;
 6.7200E-003; 5.8397E-003;
 6.8800E-003; 6.0163E-003;
 7.0400E-003; 6.1899E-003;
 7.2000E-003; 6.3605E-003;
 7.3600E-003; 6.5279E-003;
 7.5200E-003; 6.6920E-003;
 7.6800E-003; 6.8529E-003;
 7.8400E-003; 7.0107E-003;
 8.0000E-003; 7.1655E-003;
 8.1600E-003; 7.3147E-003;
 8.3200E-003; 7.4609E-003;
 8.4800E-003; 7.6044E-003;
 8.6400E-003; 7.7458E-003;
 8.8000E-003; 7.8857E-003;
 8.9600E-003; 8.0253E-003;
 9.1200E-003; 8.1637E-003;
 9.2800E-003; 8.3018E-003;
 9.4400E-003; 8.4397E-003;
 9.6000E-003; 8.5775E-003;
 9.7600E-003; 8.7153E-003;
 9.9200E-003; 8.8532E-003;
 1.0080E-002; 8.9916E-003;
 1.0240E-002; 9.1301E-003;
 1.0400E-002; 9.2695E-003;
 1.0560E-002; 9.4091E-003;
 1.0720E-002; 9.5495E-003;
 1.0880E-002; 9.6902E-003;
 1.1040E-002; 9.8314E-003;
 1.1200E-002; 9.9725E-003;
 1.1360E-002; 1.0113E-002;
 1.1520E-002; 1.0253E-002;
 1.1680E-002; 1.0393E-002;
 1.1840E-002; 1.0532E-002;
 1.2000E-002; 1.0671E-002;
 1.2160E-002; 1.0809E-002;
 1.2320E-002; 1.0948E-002;
 1.2480E-002; 1.1086E-002;
 1.2640E-002; 1.1224E-002;
 1.2800E-002; 1.1362E-002;
 1.2960E-002; 1.1501E-002;
 1.3120E-002; 1.1639E-002;
 1.3280E-002; 1.1778E-002;
 1.3440E-002; 1.1917E-002;
 1.3600E-002; 1.2056E-002;
 1.3760E-002; 1.2196E-002;
 1.3920E-002; 1.2336E-002;
 1.4080E-002; 1.2476E-002;
 1.4240E-002; 1.2617E-002;
 1.4400E-002; 1.2757E-002;
 1.4560E-002; 1.2898E-002;
 1.4720E-002; 1.3039E-002;
 1.4880E-002; 1.3179E-002;
 1.5040E-002; 1.3320E-002;
 1.5200E-002; 1.3460E-002;
 1.5360E-002; 1.3601E-002;
 1.5520E-002; 1.3742E-002;
 1.5680E-002; 1.3882E-002;
 1.5840E-002; 1.4023E-002;
 1.6000E-002; 1.4164E-002;
 1.6160E-002; 1.4305E-002;
 1.6320E-002; 1.4446E-002;
 1.6480E-002; 1.4586E-002;
 1.6640E-002; 1.4727E-002;
 1.6800E-002; 1.4868E-002;
 1.6960E-002; 1.5009E-002;
 1.7120E-002; 1.5150E-002;
 1.7280E-002; 1.5291E-002;
 1.7440E-002; 1.5431E-002;
 1.7600E-002; 1.5572E-002;
 1.7760E-002; 1.5712E-002;
 1.7920E-002; 1.5853E-002;
 1.8080E-002; 1.5993E-002;
 1.8240E-002; 1.6132E-002;
 1.8400E-002; 1.6272E-002;
 1.8560E-002; 1.6411E-002;
 1.8720E-002; 1.6550E-002;
 1.8880E-002; 1.6689E-002;
 1.9040E-002; 1.6828E-002;
 1.9200E-002; 1.6967E-002;
 1.9360E-002; 1.7105E-002;
 1.9520E-002; 1.7243E-002;
 1.9680E-002; 1.7381E-002;
 1.9840E-002; 1.7519E-002;
 2.0000E-002; 1.7657E-002;
 2.0160E-002; 1.7795E-002;
 2.0320E-002; 1.7933E-002;
